Date,Open,High,Low,Close,Change,%Change,Volume,Company,Average Price,Market Cap,Turnover Rate,FB,Trading Value,MA5,Volatility
2025-04-28,4705.88,5196.08,4705.88,5196.08,0.0,0.0,6100.0,HBH,5032.679999999999,31696088.0,41.21621621621622,100.0,31696088.0,5098.04,10.4167552083776
2025-04-29,5392.16,5392.16,5196.08,5392.16,196.07999999999993,3.773613955135408,36800.0,HBH,5326.8,198431488.0,100.0,100.0,198431488.0,5196.08,3.636390611554552
2025-05-05,6078.43,6078.43,5980.39,6078.43,686.2700000000004,12.72718168600339,71600.0,HBH,6045.75,435215588.0,100.0,100.0,435215588.0,5392.158,1.6129164932392075
2025-05-06,6372.55,6666.67,5784.31,5784.31,-294.1199999999999,-4.838749479717622,10900.0,HBH,6078.43,63048979.00000001,15.223463687150836,54.99977050066557,63048979.00000001,5529.412,13.84626248519038
2025-05-07,5588.24,6274.51,5392.16,5392.16,-392.15000000000055,-6.779546739369096,39400.0,HBH,5686.276666666668,212451104.0,55.02793296089386,35.00017849948234,212451104.0,5568.628,15.789407756288213
2025-05-08,5392.16,5490.2,5098.04,5196.08,-196.07999999999993,-3.636390611554552,1900.0,HBH,5261.44,9872552.0,2.653631284916201,6.250039843685251,9872552.0,5568.628,7.272781223109104
2025-05-09,5294.12,6078.43,5196.08,5392.16,196.07999999999993,3.773613955135408,8200.0,HBH,5555.556666666666,44215712.0,11.452513966480447,18.750119531055752,44215712.0,5568.628,16.666603703731695
2025-05-12,5294.12,5588.24,5000.0,5588.24,196.07999999999993,3.636390611554552,11900.0,HBH,5392.16,66500056.0,16.620111731843576,35.29432941134117,66500056.0,5470.59,11.11119506169108
2025-05-13,5294.12,5294.12,5000.0,5294.12,-294.1199999999999,-5.26319556783531,9000.0,HBH,5196.079999999999,47647080.0,12.569832402234638,23.077104141983966,47647080.0,5372.552,5.55559753084554
2025-05-14,5196.08,5490.2,5098.04,5294.12,0.0,0.0,4700.0,HBH,5294.12,24882364.0,6.564245810055866,27.272980165611106,24882364.0,5352.944,7.547227910270816
2025-05-15,5196.08,5294.12,5098.04,5294.12,0.0,0.0,6800.0,HBH,5228.759999999999,36000016.0,9.497206703910614,27.272980165611106,36000016.0,5372.552,3.773613955135408
2025-05-16,5196.08,5196.08,5098.04,5196.08,-98.03999999999996,-1.8518658436151798,5400.0,HBH,5163.4,28058832.0,7.5418994413407825,33.33333333333333,28058832.0,5333.335999999999,1.886806977567704
2025-05-19,5098.04,5098.04,5098.04,5098.04,-98.03999999999996,-1.886806977567704,8400.0,HBH,5098.04,42823536.0,21.31979695431472,20.0,42823536.0,5235.296,0.0
2025-05-20,5196.08,5686.27,5098.04,5686.27,588.2300000000005,11.538355917176023,7400.0,HBH,5490.193333333334,42078398.0,18.781725888324875,100.0,42078398.0,5313.726000000001,11.320649412634149
2025-05-21,5784.31,5882.35,5196.08,5196.08,-490.1900000000005,-8.620589595640032,600.0,HBH,5424.836666666667,3117648.0,5.042016806722689,12.500159375757026,3117648.0,5294.118,11.864336454996367
2025-05-22,5294.12,5294.12,4901.96,5196.08,0.0,0.0,2100.0,HBH,5130.72,10911768.0,17.647058823529413,30.000306000673184,10911768.0,5274.51,7.407463374460719
2025-05-23,5098.04,5392.16,5098.04,5392.16,196.07999999999993,3.773613955135408,300.0,HBH,5294.12,1617648.0,2.5210084033613445,50.00051000112197,1617648.0,5313.726000000001,5.769276035495992
2025-05-26,6078.43,6078.43,5000.0,5098.04,-294.1199999999999,-5.454585917331828,1700.0,HBH,5392.156666666667,8666668.0,18.88888888888889,16.666808333404155,8666668.0,5313.726000000001,17.741916909465115
2025-05-27,5196.08,5490.2,5196.08,5490.2,392.15999999999985,7.69236804732799,200.0,HBH,5392.16,1098040.0,2.380952380952381,50.000425000212466,1098040.0,5274.512,5.660420932703112
2025-05-28,5000.0,5392.16,5000.0,5392.16,-98.03999999999996,-1.7857272959090738,400.0,HBH,5261.44,2156864.0,4.761904761904762,41.66702083351039,2156864.0,5313.728,7.843199999999998
2025-05-29,5098.04,5392.16,5000.0,5392.16,0.0,0.0,1100.0,HBH,5261.44,5931376.0,13.095238095238097,36.36397355414814,5931376.0,5352.944,7.69236804732799
2025-05-30,5294.12,5294.12,5294.12,5294.12,-98.03999999999996,-1.818195305777276,200.0,HBH,5294.12,1058824.0,2.380952380952381,27.272980165611106,1058824.0,5333.336,0.0
2025-06-02,5294.12,5294.12,5294.12,5294.12,0.0,0.0,200.0,HBH,5294.12,1058824.0,2.7027027027027026,60.0,1058824.0,5372.552,0.0
2025-06-03,5294.12,5294.12,5294.12,5294.12,0.0,0.0,0.0,HBH,5294.12,0.0,0.0,75.0,0.0,5333.335999999999,0.0
2025-06-04,5294.12,5294.12,5294.12,5294.12,0.0,0.0,0.0,HBH,5294.12,0.0,0.0,75.0,0.0,5313.728,0.0
2025-06-05,4803.92,5294.12,4803.92,5294.12,0.0,0.0,700.0,HBH,5130.72,3705884.0,41.17647058823529,100.0,3705884.0,5294.12,10.204166597278885
2025-06-06,5196.08,5196.08,5196.08,5196.08,-98.03999999999996,-1.8518658436151798,100.0,HBH,5196.08,519608.0,5.88235294117647,80.0,519608.0,5274.512,0.0
2025-06-09,5196.08,5196.08,5196.08,5196.08,0.0,0.0,0.0,HBH,5196.08,0.0,0.0,80.0,0.0,5254.904,0.0
2025-06-10,5294.12,5392.16,4901.96,4901.96,-294.1199999999999,-5.660420932703112,600.0,HBH,5065.36,2941176.0,54.54545454545454,16.666666666666664,2941176.0,5176.472,9.2593292180759
2025-06-11,4901.96,5294.12,4901.96,5294.12,392.15999999999985,8.000065280010443,800.0,HBH,5163.400000000001,4235296.0,72.72727272727273,83.33333333333334,4235296.0,5176.472,8.000065280010443
2025-06-12,5392.16,5392.16,5392.16,5392.16,98.03999999999996,1.8518658436151798,200.0,HBH,5392.16,1078432.0,25.0,100.0,1078432.0,5196.08,0.0
2025-06-13,4901.96,4901.96,4901.96,4901.96,-490.1999999999998,-9.09097652888638,4200.0,HBH,4901.96,20588232.0,100.0,0.0,20588232.0,5137.255999999999,0.0
2025-06-16,5000.0,5000.0,5000.0,5000.0,98.03999999999996,2.0000163200026106,700.0,HBH,5000.0,3500000.0,16.666666666666664,20.0,3500000.0,5098.039999999999,0.0
2025-06-17,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,HBH,5000.0,0.0,0.0,20.0,0.0,5117.647999999999,0.0
2025-06-18,5196.08,5196.08,5098.04,5098.04,98.03999999999996,1.9607999999999994,400.0,HBH,5130.72,2039216.0,9.523809523809524,40.0,2039216.0,5078.432,1.886806977567704
2025-06-19,5196.08,5196.08,5196.08,5196.08,98.03999999999996,1.9230920118319974,0.0,HBH,5196.08,0.0,0.0,100.0,0.0,5039.216,0.0
2025-06-20,5196.08,5196.08,5196.08,5196.08,0.0,0.0,0.0,HBH,5196.08,0.0,0.0,100.0,0.0,5098.04,0.0
2025-06-23,5196.08,5196.08,5196.08,5196.08,0.0,0.0,0.0,HBH,5196.08,0.0,0.0,100.0,0.0,5137.255999999999,0.0
2025-06-24,4901.96,5196.08,4901.96,5196.08,0.0,0.0,4300.0,HBH,5098.04,22343144.0,100.0,100.0,22343144.0,5176.472,6.000048960007831
2025-06-25,4901.96,5000.0,4901.96,5000.0,-196.07999999999993,-3.773613955135408,900.0,HBH,4967.32,4500000.0,20.930232558139537,33.33333333333333,4500000.0,5156.864,2.0000163200026106
2025-06-26,5196.08,5196.08,5196.08,5196.08,196.07999999999993,3.921599999999999,1000.0,HBH,5196.08,5196080.0,23.25581395348837,100.0,5196080.0,5156.864,0.0
2025-06-27,5098.04,5098.04,5098.04,5098.04,-98.03999999999996,-1.886806977567704,200.0,HBH,5098.04,1019608.0,4.651162790697675,66.66666666666666,1019608.0,5137.255999999999,0.0
2025-06-30,5098.04,5098.04,5098.04,5098.04,0.0,0.0,0.0,HBH,5098.04,0.0,0.0,66.66666666666666,0.0,5117.647999999999,0.0
